id,state,lgbt,owner,sliding_fee,accredited,CTYPE4,CTYPEHI1,CTYPEHI2,CTYPE7,CTYPERC1,CTYPERC3,CTYPERC4,CTYPE1,CTYPE6,CTYPEML,CTYPEOP,CTYPE2,CTYPE3,supp_women,supp_men,supp_cooccur,supp_hiv,supp_sexabuse,supp_ipv,supp_trauma,num_assessment,num_test,num_medical,num_transition,num_recovery,num_education,num_ancillary,num_psychopharm
201900018,AK,0,"Private, Non-profit",1,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,1,1,1,1,1,0,0,0,1,8,3,0,4,4,9,3,0
201900019,AK,0,"Private, Non-profit",1,0,0,NA,NA,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,4,2,0,3,3,5,4,1
201900020,AK,0,"Private, For-profit",0,1,1,1,1,0,NA,NA,NA,0,NA,NA,NA,NA,NA,1,0,1,0,0,0,1,6,9,2,2,2,6,4,8
201900021,AK,0,"Private, Non-profit",0,1,0,NA,NA,0,NA,NA,NA,1,1,1,1,1,1,1,1,1,0,0,1,1,6,5,0,3,3,9,2,9
201900022,AK,0,Tribal Government,1,1,0,NA,NA,0,NA,NA,NA,1,0,1,0,1,1,1,1,1,0,1,1,1,7,5,0,3,4,9,5,5
201900023,AK,0,Tribal Government,1,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,1,1,0,0,0,0,0,0,1,8,9,2,3,3,6,5,4
201900024,AK,0,Tribal Government,1,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,1,1,0,0,0,0,0,0,1,8,1,0,3,4,6,5,0
201900025,AK,0,"Private, For-profit",0,1,0,NA,NA,0,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,6
201900026,AK,0,"Private, Non-profit",1,1,0,NA,NA,1,0,0,1,0,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,5,1,0,2,4,9,5,1
201900027,AK,0,State Government,0,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,8,8,2,3,0,7,4,9
201900028,AK,0,Tribal Government,1,1,0,NA,NA,0,NA,NA,NA,1,1,1,0,1,1,0,0,1,0,0,0,1,6,8,2,4,3,8,4,10
201900029,AK,0,"Private, Non-profit",1,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,1,1,1,1,1,0,0,0,1,8,3,0,4,4,9,3,0
201900030,AK,0,"Private, Non-profit",1,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,1,1,1,1,1,0,0,0,1,6,1,0,2,3,8,3,0
201900031,AK,0,"Private, Non-profit",1,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,1,1,0,0,0,0,0,0,0,7,3,0,3,2,5,4,1
201900032,AK,0,"Private, Non-profit",1,1,0,NA,NA,1,0,0,1,0,NA,NA,NA,NA,NA,1,0,1,0,1,1,1,2,2,0,1,3,8,7,5
201900033,AK,0,State Government,1,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,2,2,9,4,0
201900034,AK,0,State Government,1,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,4,4,9,5,0
201900035,AK,0,Tribal Government,1,1,0,NA,NA,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,6,6,1,3,5,9,5,6
201900036,AK,0,"Private, Non-profit",1,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,1,1,0,0,0,0,0,0,1,8,1,0,3,2,9,5,1
201900037,AK,1,Tribal Government,1,1,0,NA,NA,0,NA,NA,NA,1,0,1,0,1,1,1,1,1,1,1,1,1,8,8,2,4,6,10,6,9
201900038,AK,0,"Private, Non-profit",1,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,1,1,0,0,0,0,0,0,0,8,0,0,4,4,9,4,1
201900039,AK,0,"Private, For-profit",0,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,1,1,0,0,1,0,1,1,1,6,2,0,4,1,7,4,0
201900040,AK,0,Tribal Government,1,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,1,1,0,0,0,0,0,0,1,8,1,0,3,4,6,5,0
201900041,AK,0,"Private, For-profit",0,0,0,NA,NA,0,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,2,0,2,2,0
201900042,AK,0,"Private, Non-profit",1,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,1,1,0,0,0,0,0,0,0,7,2,0,3,4,9,5,0
201900043,AK,0,"Private, Non-profit",1,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,1,1,0,1,1,0,0,0,1,8,3,0,4,4,9,3,0
201900044,AK,0,"Private, Non-profit",1,1,0,NA,NA,1,0,1,1,0,NA,NA,NA,NA,NA,1,1,1,0,0,0,1,8,3,0,4,5,9,3,6
201900045,AK,1,"Private, Non-profit",1,1,0,NA,NA,1,0,1,1,0,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,6,3,0,4,6,9,3,10
201900046,AK,0,"Private, Non-profit",1,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,1,1,0,0,0,0,0,0,0,7,0,0,3,4,8,5,1
201900047,AK,0,"Private, Non-profit",1,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,1,1,1,1,1,0,0,0,1,4,2,0,4,5,8,7,0
201900048,AK,0,"Private, Non-profit",1,1,0,NA,NA,0,NA,NA,NA,1,0,1,0,0,1,0,0,0,0,0,0,0,8,7,0,4,1,9,3,6
201900049,AK,0,Tribal Government,0,0,0,NA,NA,0,NA,NA,NA,1,0,0,0,1,1,0,1,0,0,1,1,0,7,2,0,4,6,9,6,1
201900050,AK,0,Tribal Government,1,1,0,NA,NA,1,0,1,1,0,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,5,6,0,3,3,8,4,0
201900051,AK,0,State Government,1,1,0,NA,NA,0,NA,NA,NA,1,0,1,0,0,1,0,0,0,0,0,0,0,7,9,2,4,4,9,5,9
201900052,AK,0,"Private, Non-profit",1,1,0,NA,NA,1,1,0,1,0,NA,NA,NA,NA,NA,0,0,1,0,1,1,1,5,1,0,3,5,9,6,0
201900053,AK,0,"Private, Non-profit",1,1,0,NA,NA,0,NA,NA,NA,1,0,0,1,1,1,1,1,0,0,0,0,1,7,1,0,4,3,9,5,0
201900054,AK,1,Tribal Government,1,1,0,NA,NA,0,NA,NA,NA,1,1,1,0,0,1,1,1,1,1,1,1,1,5,9,2,4,3,9,4,11
201900055,AK,1,"Private, For-profit",0,0,0,NA,NA,0,NA,NA,NA,1,0,0,0,0,1,1,1,1,0,1,1,1,6,0,0,3,1,6,3,1
201900056,AK,0,"Private, For-profit",1,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,1,1,0,0,1,0,0,0,0,8,3,0,3,2,7,3,1
201900057,AK,0,"Private, For-profit",0,1,0,NA,NA,0,NA,NA,NA,1,1,1,1,1,1,0,0,0,0,0,0,0,7,1,0,3,0,6,3,4
201900058,AK,0,"Private, Non-profit",1,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,1,1,1,1,1,0,0,0,1,7,2,0,2,3,7,3,0
201900059,AK,0,"Private, For-profit",1,1,0,NA,NA,0,NA,NA,NA,1,0,1,1,1,1,0,0,1,0,0,0,1,7,3,0,4,4,9,5,9
201900060,AK,1,Tribal Government,1,1,0,NA,NA,0,NA,NA,NA,1,0,1,0,1,1,1,1,1,1,1,1,1,8,8,2,4,6,10,6,9
201900061,AK,0,"Private, Non-profit",1,0,0,NA,NA,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,7,3,0,4,4,8,5,0
201900062,AK,0,"Private, Non-profit",1,1,0,NA,NA,1,0,0,1,0,NA,NA,NA,NA,NA,1,0,1,0,1,1,1,3,3,0,4,5,9,8,0
201900063,AK,0,"Private, Non-profit",1,1,0,NA,NA,1,0,1,1,0,NA,NA,NA,NA,NA,1,0,1,0,0,0,1,8,3,0,4,4,9,5,4
201900064,AK,0,"Private, Non-profit",1,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,7,7,2,2,2,9,3,4
201900065,AK,0,"Private, For-profit",0,0,0,NA,NA,0,NA,NA,NA,1,0,1,0,0,1,0,0,0,0,0,0,0,7,6,0,3,3,5,2,3
201900066,AK,0,"Private, For-profit",0,0,0,NA,NA,0,NA,NA,NA,1,0,1,0,0,1,0,0,0,0,0,0,0,7,6,0,3,3,5,2,3
201900067,AK,1,"Private, Non-profit",0,0,0,NA,NA,0,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,8,9,2,4,6,9,5,14
201900068,AK,0,"Private, For-profit",1,0,0,NA,NA,0,NA,NA,NA,1,0,1,0,0,1,0,0,0,0,0,0,0,5,6,0,0,0,2,1,9
201900069,AK,0,"Private, For-profit",1,0,0,NA,NA,0,NA,NA,NA,1,0,1,0,0,1,0,0,0,0,0,0,0,7,6,0,3,3,5,0,5
201900070,AK,0,"Private, For-profit",0,0,0,NA,NA,0,NA,NA,NA,1,0,1,0,0,1,0,0,0,0,0,0,0,6,1,0,3,0,0,1,10
201900071,AK,0,"Private, For-profit",1,0,0,NA,NA,0,NA,NA,NA,1,0,1,0,0,1,0,0,0,0,0,0,0,7,6,0,3,3,5,0,5
201900072,AK,1,"Private, For-profit",1,0,0,NA,NA,0,NA,NA,NA,1,0,0,0,0,1,1,1,1,1,1,1,0,8,3,0,0,3,5,3,0
201900073,AK,0,State Government,1,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,1,1,0,0,0,0,0,0,0,7,2,2,2,1,6,4,1
201900074,AK,1,State Government,0,0,0,NA,NA,0,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,3,9,3,0
201900075,AK,0,"Private, Non-profit",1,1,0,NA,NA,1,0,1,1,0,NA,NA,NA,NA,NA,1,0,1,0,0,1,1,5,2,0,3,6,10,6,16
201900076,AK,0,"Private, Non-profit",1,1,0,NA,NA,0,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,7,9,2,4,1,5,4,12
201900077,AK,1,State Government,0,1,0,NA,NA,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,5,4,1,2,5,4,1,8
201900078,AK,0,Tribal Government,1,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,1,1,0,0,1,0,1,0,1,8,6,2,3,4,9,6,1
201900079,AK,0,Local Government,1,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,3,2,9,4,0
201900080,AK,0,"Private, Non-profit",1,1,0,NA,NA,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,6,3,0,4,4,7,3,0
201900081,AK,0,Tribal Government,1,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,1,1,1,0,0,0,0,0,0,6,1,0,3,1,5,4,1
201900082,AK,0,"Private, Non-profit",1,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,1,1,0,0,1,0,0,0,1,6,0,0,3,2,7,4,0
201900083,AK,0,"Private, Non-profit",1,1,0,NA,NA,0,NA,NA,NA,1,0,1,1,1,1,0,0,0,0,0,0,0,7,3,0,4,5,9,6,11
201900084,AK,0,"Private, Non-profit",1,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,1,1,0,0,0,0,0,0,1,7,2,0,3,2,9,4,0
201900085,AK,0,"Private, Non-profit",1,1,0,NA,NA,0,NA,NA,NA,1,0,1,0,1,1,1,1,1,0,0,0,1,8,3,0,4,4,9,3,6
201900086,AK,0,"Private, Non-profit",1,1,0,NA,NA,0,NA,NA,NA,1,0,1,0,0,1,1,1,1,1,1,1,1,6,6,2,4,3,9,3,1
201900087,AK,0,Local Government,1,1,1,0,1,1,0,1,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,7,8,0,4,4,8,4,11
201900088,AK,0,"Private, Non-profit",1,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,1,1,1,1,0,0,0,0,1,7,2,0,4,3,7,3,0
201900089,AK,0,"Private, Non-profit",1,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,1,1,1,1,1,0,0,1,1,7,2,0,4,5,9,5,0
201900090,AK,0,Tribal Government,1,1,0,NA,NA,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,7,1,0,4,5,9,4,2
201900091,AK,0,Local Government,0,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,0,1,0,1,1,0,0,0,1,8,0,0,3,3,9,6,2
201900092,AK,0,"Private, Non-profit",1,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,1,1,0,0,0,0,0,0,0,7,4,0,4,4,5,4,0
201900093,AK,0,"Private, Non-profit",1,1,0,NA,NA,1,0,1,1,0,NA,NA,NA,NA,NA,1,1,1,0,0,0,1,5,2,0,4,6,9,6,2
201900094,AK,1,"Private, Non-profit",1,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,1,1,0,0,1,1,1,1,1,7,2,0,4,4,8,3,10
201900095,AK,0,"Private, Non-profit",1,1,0,NA,NA,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,7,7,2,4,5,10,3,0
201900096,AK,0,"Private, Non-profit",1,1,0,NA,NA,1,0,0,1,0,NA,NA,NA,NA,NA,1,1,1,0,0,1,1,6,6,0,3,5,10,4,5
201900097,AL,0,"Private, Non-profit",1,0,0,NA,NA,0,NA,NA,NA,1,0,1,1,1,1,1,1,1,0,1,1,1,7,3,0,4,2,8,5,7
201900098,AL,0,"Private, Non-profit",1,0,0,NA,NA,0,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,5,3,0,3,1,4,2,1
201900099,AL,0,"Private, For-profit",0,0,1,1,1,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,3,1,0,4,1,3,0,1
201900100,AL,0,"Private, Non-profit",1,0,0,NA,NA,0,NA,NA,NA,1,0,0,0,1,0,0,0,1,0,0,0,0,5,1,0,2,0,6,1,0
201900101,AL,0,"Private, For-profit",0,1,0,NA,NA,0,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,5,6,0,2,1,9,3,1
201900102,AL,0,"Private, For-profit",0,1,0,NA,NA,0,NA,NA,NA,1,0,1,0,0,1,1,0,0,1,0,1,0,2,7,0,3,3,8,4,1
201900103,AL,0,"Private, For-profit",0,1,0,NA,NA,1,1,1,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,5,3,0,4,2,7,0,6
201900104,AL,0,State Government,0,1,0,NA,NA,0,NA,NA,NA,1,0,1,0,0,1,0,0,0,0,0,0,0,5,7,2,3,5,8,4,11
201900105,AL,0,"Private, Non-profit",1,0,0,NA,NA,0,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,6,2,0,3,1,8,2,0
201900106,AL,0,"Private, Non-profit",1,0,0,NA,NA,0,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,6,3,0,3,1,3,3,1
201900107,AL,0,"Private, Non-profit",1,0,0,NA,NA,0,NA,NA,NA,1,0,0,0,0,1,0,0,1,0,0,0,1,5,2,0,3,1,7,3,0
201900108,AL,0,"Private, Non-profit",1,0,0,NA,NA,0,NA,NA,NA,1,0,0,0,1,1,0,0,1,0,0,0,1,5,3,0,3,2,8,3,0
201900109,AL,0,"Private, Non-profit",1,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,2,1,8,2,0
201900110,AL,0,"Private, Non-profit",1,0,0,NA,NA,1,0,1,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,2,0,2,4,7,3,0
201900111,AL,0,"Private, For-profit",0,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,1,0,1,1,0,0,0,0,0,3,2,0,3,1,4,0,3
201900112,AL,0,"Private, Non-profit",1,0,0,NA,NA,0,NA,NA,NA,1,0,0,0,0,1,0,0,1,0,0,0,1,5,2,0,3,1,6,3,0
201900113,AL,0,"Private, Non-profit",1,0,0,NA,NA,0,NA,NA,NA,1,0,0,0,1,1,1,1,0,0,0,0,0,6,3,0,3,2,8,5,1
201900114,AL,0,"Private, Non-profit",1,0,0,NA,NA,0,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,5,3,0,3,2,8,4,1
201900115,AL,0,"Private, Non-profit",1,0,0,NA,NA,0,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,5,3,0,3,2,8,4,1
201900116,AL,0,"Private, For-profit",0,1,0,NA,NA,0,NA,NA,NA,1,0,1,0,0,0,1,1,0,0,0,0,0,1,3,0,3,0,7,0,1
201900117,AL,0,"Private, For-profit",0,1,0,NA,NA,0,NA,NA,NA,1,0,1,0,0,1,1,1,0,0,0,0,0,3,3,0,4,3,9,2,1
201900118,AL,0,"Private, For-profit",1,1,0,NA,NA,0,NA,NA,NA,1,0,1,0,0,1,0,0,0,1,0,0,0,4,8,0,3,4,7,2,2
201900119,AL,0,"Private, Non-profit",0,1,0,NA,NA,1,0,0,1,0,NA,NA,NA,NA,NA,0,0,1,1,0,1,1,6,4,0,3,4,8,6,3
201900120,AL,0,"Private, For-profit",0,1,0,NA,NA,0,NA,NA,NA,1,0,1,0,1,1,0,0,0,0,0,0,0,3,2,0,4,1,5,0,5
201900121,AL,0,"Private, Non-profit",1,0,0,NA,NA,0,NA,NA,NA,1,0,0,0,0,1,1,0,1,0,0,1,0,6,4,0,3,1,8,6,0
201900122,AL,1,"Private, Non-profit",1,0,0,NA,NA,1,0,1,1,0,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,5,4,0,4,4,6,5,3
201900123,AL,0,"Private, For-profit",1,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,1,1,0,0,1,0,0,0,0,6,2,0,4,6,8,6,1
201900124,AL,0,"Private, Non-profit",1,0,0,NA,NA,0,NA,NA,NA,1,0,0,0,0,1,0,0,1,0,0,1,0,7,3,0,3,1,4,3,1
201900125,AL,0,"Private, For-profit",1,0,0,NA,NA,0,NA,NA,NA,1,0,0,0,0,1,0,0,0,1,0,1,1,5,6,0,4,6,10,4,2
201900126,AL,0,"Private, Non-profit",1,0,0,NA,NA,0,NA,NA,NA,1,0,0,0,1,1,0,0,0,0,0,0,0,4,2,0,3,4,6,2,0
201900127,AL,0,"Private, Non-profit",1,0,0,NA,NA,0,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,3,1,7,4,0
201900128,AL,0,Local Government,0,1,1,1,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,3,6,0,2,1,2,1,6
201900129,AL,0,"Private, For-profit",0,1,0,NA,NA,0,NA,NA,NA,1,1,1,0,1,0,1,1,1,0,0,0,0,5,3,0,3,4,8,3,4
201900130,AL,0,"Private, For-profit",0,1,0,NA,NA,0,NA,NA,NA,1,0,1,0,1,1,0,0,0,0,0,0,0,3,3,0,3,2,5,2,4
201900131,AL,0,"Private, Non-profit",1,0,0,NA,NA,1,0,1,1,0,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,4,5,0,2,5,9,3,2
201900132,AL,1,"Private, Non-profit",1,0,0,NA,NA,0,NA,NA,NA,1,0,1,0,0,1,1,1,1,1,0,0,0,7,5,0,4,1,6,4,7
201900133,AL,0,"Private, For-profit",0,1,0,NA,NA,0,NA,NA,NA,1,1,1,0,1,1,0,0,0,0,0,0,0,4,3,0,2,2,7,2,2
201900134,AL,0,"Private, For-profit",0,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,1,0,0,0,1,0,0,0,0,5,3,0,2,1,7,3,0
201900135,AL,0,"Private, For-profit",0,0,0,NA,NA,0,NA,NA,NA,1,0,0,1,1,1,0,0,0,0,0,0,0,5,0,0,2,1,5,2,0
201900136,AL,0,"Private, Non-profit",1,0,0,NA,NA,0,NA,NA,NA,1,0,0,0,1,1,1,1,1,0,0,0,0,6,3,0,2,4,5,3,1
201900137,AL,0,"Private, Non-profit",1,0,0,NA,NA,0,NA,NA,NA,1,0,0,0,1,1,1,1,1,0,0,0,0,6,3,0,2,5,5,3,1
201900138,AL,1,"Private, Non-profit",1,0,0,NA,NA,0,NA,NA,NA,1,0,1,0,0,1,1,1,1,1,1,1,1,7,4,0,4,1,8,3,7
201900139,AL,1,"Private, Non-profit",1,0,0,NA,NA,0,NA,NA,NA,1,0,1,0,0,1,1,1,1,1,1,1,1,7,5,0,4,2,8,4,7
201900140,AL,0,"Private, Non-profit",1,0,0,NA,NA,0,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,6,2,0,3,1,8,2,0
201900141,AL,0,State Government,0,1,0,NA,NA,0,NA,NA,NA,1,0,0,1,1,1,0,0,1,0,0,0,0,8,7,2,4,5,10,6,5
201900142,AL,0,"Private, Non-profit",1,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,0,1,0,0,0,1,0,0,0,6,5,1,3,6,9,4,2
201900143,AL,1,"Private, For-profit",1,1,0,NA,NA,0,NA,NA,NA,1,1,1,0,1,1,1,1,1,1,1,1,1,8,9,2,4,6,10,5,16
201900144,AL,0,"Private, Non-profit",1,0,0,NA,NA,1,0,0,1,0,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,5,4,0,3,3,8,2,0
201900145,AL,0,"Private, For-profit",0,1,0,NA,NA,0,NA,NA,NA,1,0,1,0,1,0,1,1,0,0,0,0,0,2,2,0,3,1,5,0,4
201900146,AL,0,"Private, Non-profit",1,0,0,NA,NA,0,NA,NA,NA,1,0,0,0,0,1,0,0,1,0,0,0,1,5,2,0,3,1,7,3,0
201900147,AL,0,"Private, For-profit",0,1,0,NA,NA,0,NA,NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,3,4,0,4,3,7,4,3
201900148,AL,0,"Private, For-profit",0,1,0,NA,NA,0,NA,NA,NA,1,1,1,1,1,1,1,1,1,0,0,0,0,4,4,0,4,1,6,2,3
201900149,AL,0,"Private, For-profit",1,1,0,NA,NA,0,NA,NA,NA,1,1,1,0,0,0,0,0,1,1,0,0,0,3,6,0,4,3,8,3,3
201900150,AL,1,"Private, Non-profit",1,0,0,NA,NA,1,0,0,1,0,NA,NA,NA,NA,NA,0,1,1,1,1,0,0,5,6,0,4,4,8,2,8
201900151,AL,0,"Private, For-profit",0,1,0,NA,NA,0,NA,NA,NA,1,1,1,0,0,1,0,0,0,0,0,0,0,4,5,0,4,5,8,2,3
201900152,AL,1,"Private, For-profit",0,1,0,NA,NA,0,NA,NA,NA,1,1,1,0,0,1,1,1,1,1,1,1,1,4,4,0,3,5,7,2,2
201900153,AL,0,"Private, Non-profit",1,0,0,NA,NA,1,0,0,1,0,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,5,4,0,3,6,9,6,3
201900154,AL,0,"Private, For-profit",0,1,0,NA,NA,0,NA,NA,NA,1,0,1,0,1,0,1,1,1,1,1,1,0,6,8,0,4,6,10,4,2
201900155,AL,0,"Private, Non-profit",1,0,0,NA,NA,0,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,6,2,0,3,2,8,2,0
201900156,AL,0,"Private, For-profit",0,0,0,NA,NA,0,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,1,4
201900157,AL,1,"Private, Non-profit",1,0,0,NA,NA,0,NA,NA,NA,1,0,1,0,0,1,1,1,1,1,1,1,1,6,5,0,4,1,8,4,7
201900158,AL,0,"Private, Non-profit",1,0,0,NA,NA,1,0,0,1,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,6,5,0,4,5,10,6,10
201900159,AL,0,"Private, Non-profit",1,0,0,NA,NA,0,NA,NA,NA,1,0,0,0,1,1,0,0,0,0,0,0,0,6,4,0,3,3,6,4,0
201900160,AL,0,"Private, For-profit",0,1,0,NA,NA,0,NA,NA,NA,1,1,1,0,0,1,1,1,1,0,1,1,1,3,4,0,2,1,7,3,2
201900161,AL,0,"Private, Non-profit",1,1,0,NA,NA,0,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,3,1,5,5,1
201900162,AL,0,"Private, Non-profit",1,0,0,NA,NA,0,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,6,2,0,3,1,8,2,0
201900163,AL,1,"Private, Non-profit",1,0,0,NA,NA,0,NA,NA,NA,1,0,1,0,1,1,1,1,1,1,1,1,1,8,2,0,4,5,10,6,0
