region,state,so_gi,relational_recognition,non_discrimination,religious_exemption,lgbt_youth,healthcare,criminal_justic,identity_docs,so_policy_total,gi_policy_total,overall_policy_total
kansas,KS,GI,0/1,2.75/4.5,-1.5/-2.5,0/4,0/4.5,0/2,1.25/4,4.25,2.5,6.75
kentucky,KY,SO,3.25/6,1.25/4.5,-0.5/-3.5,0.75/4,1/2,0.5/2,--,6.25,2,8.25
kentucky,KY,GI,1/1,1.25/4.5,-0.5/-2.5,0.75/4,1/4.5,-0.5/2,-1/4,6.25,2,8.25
louisiana,LA,SO,1.5/6,0/4.5,-0.5/-3.5,-0.5/4,0.5/2,0/2,--,1,-3.5,-2.5
louisiana,LA,GI,0/1,0/4.5,-0.5/-2.5,-1/4,0/4.5,-1/2,-1/4,1,-3.5,-2.5
maine,ME,SO,6/6,4.5/4.5,0/-3.5,3.5/4,1.5/2,2/2,--,17.5,17.5,35
maine,ME,GI,1/1,4.5/4.5,0/-2.5,3.5/4,3.5/4.5,2/2,3/4,17.5,17.5,35
maryland,MD,SO,3.75/6,3.5/4.5,0/-3.5,3.5/4,1/2,1.5/2,--,13.25,16.5,29.75
maryland,MD,GI,1/1,3.5/4.5,0/-2.5,3.5/4,3.5/4.5,1.5/2,3.5/4,13.25,16.5,29.75
massachusetts,MA,SO,5.5/6,4.5/4.5,0/-3.5,3.5/4,1/2,0.75/2,--,15.25,17.25,32.5
massachusetts,MA,GI,1/1,4.5/4.5,0/-2.5,4/4,4.5/4.5,0.75/2,2.5/4,15.25,17.25,32.5
michigan,MI,SO,2.5/6,2.75/4.5,-1/-3.5,2/4,1.5/2,-0.5/2,--,7.25,7.75,15
michigan,MI,GI,1/1,2.75/4.5,-1/-2.5,2/4,3.5/4.5,-0.5/2,0/4,7.25,7.75,15
minnesota,MN,SO,3.5/6,4.5/4.5,0/-3.5,3/4,1.5/2,1/2,--,13.5,16.5,30
minnesota,MN,GI,1/1,4.5/4.5,0/-2.5,2.5/4,4/4.5,1/2,3.5/4,13.5,16.5,30
mississippi,MS,SO,3/6,0/4.5,-3.5/-3.5,-0.5/4,1/2,-0.5/2,--,-0.5,-3,-3.5
mississippi,MS,GI,0/1,0/4.5,-2.5/-2.5,-1.5/4,0/4.5,-0.5/2,1.5/4,-0.5,-3,-3.5
missouri,MO,SO,2.5/6,1/4.5,-0.5/-3.5,-0.5/4,0.5/2,0.5/2,--,3.5,-2.25,1.25
missouri,MO,GI,0/1,0.5/4.5,-0.5/-2.5,-1/4,-0.5/4.5,0.5/2,-1.25/4,3.5,-2.25,1.25
montana,MT,SO,4/6,0.5/4.5,-0.5/-3.5,0.5/4,0.5/2,-0.5/2,--,4.5,0.5,5
montana,MT,GI,0/1,0.5/4.5,-0.5/-2.5,-1/4,3/4.5,-0.5/2,-1/4,4.5,0.5,5
nebraska,NE,SO,2/6,2.25/4.5,0/-3.5,0/4,0.5/2,0.5/2,--,5.25,-1.25,4
nebraska,NE,GI,0/1,2.25/4.5,0/-2.5,0/4,-1.5/4.5,-0.5/2,-1.5/4,5.25,-1.25,4
nevada,NV,SO,3.5/6,4.5/4.5,0/-3.5,4/4,2/2,2/2,--,16,19.5,35.5
nevada,NV,GI,1/1,4.5/4.5,0/-2.5,4/4,4/4.5,2/2,4/4,16,19.5,35.5
new hampshire,NH,SO,4/6,3.5/4.5,0/-3.5,3.5/4,1.5/2,1/2,--,13.5,12.75,26.25
new hampshire,NH,GI,1/1,3.5/4.5,0/-2.5,3.5/4,3.5/4.5,1/2,0.25/4,13.5,12.75,26.25
new jersey,NJ,SO,5/6,4.5/4.5,0/-3.5,3.5/4,0.5/2,1.5/2,--,15,17.5,32.5
new jersey,NJ,GI,1/1,4.5/4.5,0/-2.5,3.5/4,3/4.5,1.5/2,4/4,15,17.5,32.5
new mexico,NM,SO,4/6,4.5/4.5,-0.5/-3.5,3.5/4,0.5/2,1/2,--,13,13.5,26.5
new mexico,NM,GI,1/1,4.5/4.5,-0.5/-2.5,2.5/4,2/4.5,1/2,3/4,13,13.5,26.5
new york,NY,SO,5/6,4.5/4.5,0/-3.5,4/4,2/2,2/2,--,17.5,17.25,34.75
new york,NY,GI,1/1,4.5/4.5,0/-2.5,4/4,3.5/4.5,2/2,2.25/4,17.5,17.25,34.75
north carolina,NC,SO,2/6,0.5/4.5,-0.5/-3.5,1.75/4,1/2,-0.5/2,--,4.25,0.5,4.75
north carolina,NC,GI,0/1,0.5/4.5,0/-2.5,1.75/4,0/4.5,-0.5/2,-1.25/4,4.25,0.5,4.75
north dakota,ND,SO,3/6,3.5/4.5,-1/-3.5,2/4,0.5/2,-0.5/2,--,7.5,4.25,11.75
north dakota,ND,GI,1/1,3.5/4.5,-1/-2.5,2/4,-0.5/4.5,-0.5/2,-0.25/4,7.5,4.25,11.75
northern mariana islands,NA,SO,1.5/6,0.5/4.5,0/-3.5,1/4,0.5/2,0/2,--,3.5,-1,2.5
northern mariana islands,NA,GI,0/1,0/4.5,0/-2.5,0.5/4,0/4.5,0/2,-1.5/4,3.5,-1,2.5
ohio,OH,SO,2.5/6,1.25/4.5,0/-3.5,0.5/4,0.5/2,-1/2,--,3.75,1,4.75
ohio,OH,GI,0/1,1.25/4.5,0/-2.5,0/4,-1/4.5,-1/2,1.75/4,3.75,1,4.75
oklahoma,OK,SO,3.5/6,0/4.5,-1.5/-3.5,-0.5/4,1/2,-0.5/2,--,2,-3,-1
oklahoma,OK,GI,0/1,0/4.5,-1.5/-2.5,-0.5/4,0.5/4.5,-0.5/2,-1/4,2,-3,-1
oregon,OR,SO,5/6,3.5/4.5,0/-3.5,3.5/4,1.5/2,2/2,--,15.5,18,33.5
oregon,OR,GI,1/1,3.5/4.5,0/-2.5,3.5/4,4/4.5,2/2,4/4,15.5,18,33.5
pennsylvania,PA,SO,3/6,2.75/4.5,-0.5/-3.5,1/4,1/2,-0.5/2,--,6.75,9.25,16
pennsylvania,PA,GI,0/1,2.75/4.5,-0.5/-2.5,1/4,4/4.5,-0.5/2,2.5/4,6.75,9.25,16
puerto rico,NA,SO,3.25/6,1.5/4.5,0/-3.5,2.75/4,1.5/2,1/2,--,10,10,20
puerto rico,NA,GI,0/1,1.5/4.5,0/-2.5,2.75/4,2/4.5,1/2,2.75/4,10,10,20
rhode island,RI,SO,5.5/6,4.5/4.5,-0.5/-3.5,3/4,2/2,2/2,--,16.5,17,33.5
rhode island,RI,GI,1/1,4.5/4.5,-0.5/-2.5,2.5/4,4.5/4.5,2/2,3/4,16.5,17,33.5
south carolina,SC,SO,2/6,0/4.5,-1.5/-3.5,0/4,1/2,-0.5/2,--,1,-1.5,-0.5
south carolina,SC,GI,0/1,0/4.5,-1.5/-2.5,0/4,0.5/4.5,-0.5/2,0/4,1,-1.5,-0.5
south dakota,SD,SO,2.5/6,0/4.5,-1.5/-3.5,-0.5/4,0/2,-1/2,--,-0.5,-4,-4.5
south dakota,SD,GI,1/1,0/4.5,-1.5/-2.5,-1.5/4,0/4.5,-1/2,-1/4,-0.5,-4,-4.5
tennessee,TN,SO,2.75/6,-1/4.5,-2.5/-3.5,1/4,0/2,0/2,--,0.25,-5.25,-5
tennessee,TN,GI,1/1,-1/4.5,-2.5/-2.5,0/4,-1.5/4.5,-0.25/2,-1/4,0.25,-5.25,-5
texas,TX,SO,2/6,1.25/4.5,-1.5/-3.5,-1/4,1/2,1/2,--,2.75,-1.75,1
texas,TX,GI,0/1,1.25/4.5,-1.5/-2.5,-1/4,-0.5/4.5,0/2,0/4,2.75,-1.75,1
u.s. virgin islands,NA,SO,2.5/6,0.5/4.5,0/-3.5,1/4,0/2,0.5/2,--,4.5,0,4.5
u.s. virgin islands,NA,GI,0/1,0.5/4.5,0/-2.5,0/4,0/4.5,0.5/2,-1/4,4.5,0,4.5
utah,UT,SO,1.5/6,2.5/4.5,0/-3.5,3/4,0/2,0/2,--,7,6.75,13.75
utah,UT,GI,0/1,2.5/4.5,0/-2.5,2.5/4,0/4.5,0/2,1.75/4,7,6.75,13.75
vermont,VT,SO,5.5/6,4.5/4.5,0/-3.5,3.5/4,2/2,2/2,--,17.5,18.5,36
vermont,VT,GI,1/1,4.5/4.5,0/-2.5,4/4,4/4.5,2/2,3/4,17.5,18.5,36
virginia,VA,SO,1.5/6,4.5/4.5,-1.5/-3.5,2/4,0.5/2,2/2,--,9,13,22
virginia,VA,GI,0/1,4.5/4.5,-1.5/-2.5,2/4,2.5/4.5,2/2,3.5/4,9,13,22
washington,WA,SO,4.25/6,4.5/4.5,0/-3.5,3.5/4,1.5/2,1.5/2,--,15.25,19,34.25
washington,WA,GI,1/1,4.5/4.5,0/-2.5,4/4,4/4.5,1.5/2,4/4,15.25,19,34.25
west virginia,WV,SO,3/6,0/4.5,0/-3.5,1.5/4,0.5/2,0/2,--,5,-0.5,4.5
west virginia,WV,GI,1/1,0/4.5,0/-2.5,0/4,-1.5/4.5,0/2,0/4,5,-0.5,4.5
wisconsin,WI,SO,3.25/6,3.5/4.5,0/-3.5,2.25/4,2/2,0.75/2,--,11.75,5.25,17
wisconsin,WI,GI,0/1,1/4.5,0/-2.5,0.75/4,4.5/4.5,-0.25/2,-0.75/4,11.75,5.25,17
wyoming,WY,SO,2/6,0/4.5,0/-3.5,0.5/4,0/2,0/2,--,2.5,-0.75,1.75
wyoming,WY,GI,0/1,0/4.5,0/-2.5,0/4,-1/4.5,0/2,0.25/4,2.5,-0.75,1.75
